,table_1,table_2,column_table_1,column_table_2,match_value
0,mediated_schema,Gren-disfold.com.json,industry,industry,0.8562453
1,mediated_schema,Gren-disfold.com.json,country,country,0.85379434
2,mediated_schema,Gren-disfold.com.json,sector,sector,0.85103697
3,mediated_schema,Gren-disfold.com.json,Stock,stock,0.84791195
4,mediated_schema,Gren-disfold.com.json,name,name,0.8443405
5,mediated_schema,Gren-disfold.com.json,market cap,market_capitalization_USD,0.43649006
6,mediated_schema,Wissel-ariregister.rik.ee.json,address,Address,0.78574175
7,mediated_schema,Wissel-ariregister.rik.ee.json,name,Name,0.7762879
8,mediated_schema,Wissel-ariregister.rik.ee.json,country,Code_y,0.37754208
9,mediated_schema,Wissel-ariregister.rik.ee.json,Stock,Status,0.33561975
10,mediated_schema,Wissel-ariregister.rik.ee.json,share price,Source,0.33082467
11,mediated_schema,Wissel-ariregister.rik.ee.json,revenue,Role,0.32609594
12,mediated_schema,Wissel-ariregister.rik.ee.json,website,Start Date,0.2832056
13,mediated_schema,Wissel-ariregister.rik.ee.json,industry,ID,0.25678247
14,mediated_schema,MalPatSaj-disfold.com.json,industry,Industry,0.8619339
15,mediated_schema,MalPatSaj-disfold.com.json,country,Country,0.85948294
16,mediated_schema,MalPatSaj-disfold.com.json,sector,Sector,0.8567256
17,mediated_schema,MalPatSaj-disfold.com.json,Stock,Stock,0.85360056
18,mediated_schema,MalPatSaj-disfold.com.json,name,Name,0.8500291
19,mediated_schema,MalPatSaj-disfold.com.json,market cap,MarketCap,0.7243921
20,mediated_schema,DDD-ft.com.json,country,country,0.8233604
21,mediated_schema,DDD-ft.com.json,sector,sector,0.820603
22,mediated_schema,DDD-ft.com.json,name,name,0.81390655
23,mediated_schema,DDD-ft.com.json,founded year,founding_year,0.5833784
24,mediated_schema,DDD-ft.com.json,revenue,revenue_2020_euro,0.5070129
25,mediated_schema,DDD-ft.com.json,revenue,revenue_2017_euro,0.5070129
26,mediated_schema,DDD-ft.com.json,employees,number_of_employees_2020,0.42930868
27,mediated_schema,DDD-ft.com.json,employees,number_of_employees_2017,0.42930868
28,mediated_schema,DeBiGa-globaldata.json,industry,industry,0.8582887
